epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.2501,3.14361,3.4148,3.65218,0.0032,0.77236,0.05584,0.01043,2.79324,4.14738,3.23657,0.000325926,0.000325926,0.0677333
2,197.825,3.0477,3.27468,3.41927,0.01934,0.36314,0.01595,0.00319,2.95954,8.52793,3.61529,0.000659241,0.000659241,0.0347333
3,297.462,2.80242,3.1364,3.25157,0.03462,0.15176,0.02335,0.00569,2.65931,5.1398,3.30675,0.000992485,0.000992485,0.00173323
4,397.539,2.60395,3.08297,3.09872,0.12458,0.18699,0.0742,0.01818,2.56752,4.59663,3.20412,0.000999756,0.000999756,0.000999756
5,498.875,2.42793,2.96117,2.96153,0.08191,0.28455,0.05053,0.01248,2.51246,5.02979,3.18036,0.000999566,0.000999566,0.000999566
6,597.138,2.37095,2.91822,2.88809,0.04868,0.21951,0.02763,0.00708,2.63129,4.14597,3.18661,0.000999322,0.000999322,0.000999322
7,695.447,2.29305,2.8019,2.80583,0.07574,0.15447,0.03463,0.00774,2.55988,3.96981,3.13248,0.000999023,0.000999023,0.000999023
8,794.055,2.21703,2.75259,2.74438,0.28049,0.33604,0.20808,0.05831,2.28116,2.89172,2.88482,0.000998671,0.000998671,0.000998671
9,891.916,2.15258,2.59855,2.69459,0.23178,0.30623,0.16304,0.04872,2.28719,2.80405,2.88686,0.000998264,0.000998264,0.000998264
10,989.847,2.11395,2.51976,2.64348,0.35252,0.36314,0.28217,0.08725,2.12955,2.62176,2.71683,0.000997803,0.000997803,0.000997803
11,1087.9,2.07381,2.43528,2.59784,0.25702,0.34874,0.191,0.06001,2.12055,2.86782,2.74346,0.000997288,0.000997288,0.000997288
12,1185.8,2.02953,2.40747,2.55591,0.40788,0.34959,0.31978,0.11096,2.09442,2.64416,2.7632,0.00099672,0.00099672,0.00099672
13,1283.74,1.98081,2.32154,2.50138,0.38505,0.42083,0.33967,0.13264,1.93783,2.3565,2.58848,0.000996097,0.000996097,0.000996097
14,1381.45,1.91871,2.22646,2.47139,0.34167,0.36043,0.259,0.08541,2.0635,2.53552,2.65969,0.00099542,0.00099542,0.00099542
15,1479,1.88559,2.22547,2.4205,0.4942,0.44715,0.45001,0.17955,1.90596,2.22307,2.49743,0.00099469,0.00099469,0.00099469
16,1576.74,1.85499,2.12939,2.37351,0.48064,0.42818,0.42593,0.16967,1.87861,2.12737,2.4685,0.000993906,0.000993906,0.000993906
17,1674.31,1.82353,2.14887,2.351,0.49116,0.46301,0.48405,0.19204,1.87362,2.04236,2.45636,0.000993068,0.000993068,0.000993068
18,1772.15,1.81656,2.05994,2.34071,0.40537,0.4607,0.36848,0.15241,1.94349,2.27923,2.55031,0.000992177,0.000992177,0.000992177
19,1869.79,1.78246,2.04411,2.33881,0.44541,0.45257,0.42636,0.17567,1.86687,2.0868,2.47683,0.000991232,0.000991232,0.000991232
20,1967.51,1.71363,1.97478,2.26136,0.48914,0.47425,0.47725,0.20069,1.83921,1.9676,2.42016,0.000990234,0.000990234,0.000990234
21,2065.36,1.74849,2.04386,2.29199,0.49077,0.49322,0.45563,0.18636,1.74333,2.12443,2.3701,0.000989183,0.000989183,0.000989183
22,2163.15,1.71443,1.98613,2.26606,0.51822,0.45799,0.49568,0.21524,1.79611,2.07752,2.40011,0.000988079,0.000988079,0.000988079
23,2261.03,1.70843,1.965,2.25605,0.4559,0.50949,0.47162,0.19517,1.81569,1.9566,2.39674,0.000986922,0.000986922,0.000986922
